,tweet,Odio_Bol,is_reply,sent_analysis_class,sent_analysis_compound,has_all_caps,has_emoji,punct_index,has_hurtlex,hurtlex_index,normalized,norm_lemma
0,"Covid-19: Brasil registra 1.113 mortes e 36.653 casos nas últimas 24 horas - (Via @sbtjornalismo) País tem 133 mil mortes e 4,38 milhões de infecções confirmadas. Há mais de 3,67 milhões de recuperados - https://t.co/uo14SDAbVn https://t.co/brEJEGUzu7",0,0,neu,pos,0,False,0.08764940239043825,0,0.0,"covil number : brasil registra number mortes e number casos nas últimas number horas - ( via username ) país tem number mil mortes e number , number milhões de infecções confirmadas . há mais de number , number milhões de recuperados - url url",covil brasil registra morte caso ultimar hora ver pai mil morte milhoes infeccoes confirmar ha milhoes recuperar
1,China relata primeiro caso de nova variante de coronavírus (Moneytimes),0,0,neu,neu,0,False,0.028169014084507043,0,0.0,china relata primeiro caso de nova variante de coronavírus ( cornetim és ),china relatar primeiro caso nova variante coronavirus cornetim es
2,URGENTE: 7 BRT pegando fogo no Terminal Fundão nesse momento.,0,0,neu,neu,1,False,0.03278688524590164,0,0.0,urgente : number bus pegando fogo no terminal fundão nesse momento .,urgente bus pegar fogo terminal fundao em esse momento
3,Agência dos EUA autoriza imunizante da Pfizer e vacinação deve começar na próxima semana,0,0,neu,neu,1,False,0.0,0,0.0,agência dos eua autoriza imunizante da pfizer e vacinação deve começar na próxima semana,agencia eua autorizar imunizante pfizer vacinacao dever comecar proxima semana
4,Rio de Janeiro não vai mais comprar doses da Coronavac https://t.co/LUUJwPdSKA,0,0,neu,neg,0,False,0.0641025641025641,0,0.0,rio de janeiro não vai mais comprar doses da cornava url,rio janeiro nao ir comprar dose cornava
5,O gol marcado por Felippe Cardoso: Atlético-GO 2x1 Fluminense https://t.co/rq3BmFkrAc,0,0,neu,neg,1,False,0.08235294117647059,0,0.0,o gol marcado por felipe cardoso : atlético-go 2x1 fluminense url,gol marcar felipe cardoso atletico go 2x1 fluminense
6,"●CÓDIGO DE INDICAÇÃO● ■wandert266■ Invista no 🇺🇲🇺🇲🇺🇲na palma da sua mão e ganhe prêmios usando o código de indicação Acesse: https://t.co/KvN3u7pQ21 Acesse: https://t.co/KvN3u7pQ21 Acesse: https://t.co/KvN3u7pQ21 ● Cadastra-se é grátis, é fácil! 🇺🇲#nasdaq #nyse #Stake🇺🇸",0,0,neu,pos,1,False,0.08888888888888889,0,0.0,"●código de indicação ● ■wan de rt266 ■ invista no 🇺🇲🇺🇲🇺🇲na palma da sua mão e ganhe prêmios usando o código de indicação visite : url visite : url visite : url ● cadastra-se é grátis , é fácil ! 🇺🇲 hashtag hashtag hashtag 🇺🇸",codigo indicacao wan rt266 investir palma mao ganhar premios usar codigo indicacao visitar visitar visitar cadastrar gratis facil
7,@Alexandre030479 👮🏽‍♂️👊🏽,0,1,neu,neu,0,True,0.041666666666666664,0,0.0,username 👮 🏽 ‍ ♂ ️ 👊 🏽,
8,"Flamengo O Brasileiro acaba no dia 24 de fevereiro, a janela para entrada de jogadores abre somente em março. Logo, Diego Alves saindo é bem claro que o camisa 1 será o Hugo Souza, o clube querendo ou nao. Se vai contratar depois, vai depender de uma série de fatores.",0,0,neu,pos,1,False,0.026119402985074626,0,0.0,"flamengo o brasileiro acaba no dia number de fevereiro , a janela para entrada de jogadores abre somente em março . logo , diego alves saindo é bem claro que o camisa number será o hugo souza , o clube querendo ou não . se vai contratar depois , vai depender de uma série de fatores .",flamengo brasileiro acabar dia fevereiro janela entrar jogar abrir somente marco logo diego alves sair bem claro camisa sera hugo souza clube querer nao ir contratar ir depender seriar fator
9,"@Valenti75943545 Muito obrigado pelas palavras de carinho, Valentina. Conte sempre com a Polícia Militar!! #PMERJ",0,1,neu,pos,1,False,0.05309734513274336,0,0.0,"username muito obrigado pelas palavras de carinho , valentina . conte sempre com a polícia militar ! ! hashtag",obrigar palavra carinho valentina contar sempre policiar militar
