,Unnamed: 0,Odio_Bol,is_reply,sent_analysis_class,sent_analysis_compound,has_all_caps,has_emoji,punct_index,has_hurtlex,hurtlex_index,normalized,norm_lemma
0,0,0,0,neu,pos,0,False,0.0876494023904382,0,0.0,"covil number : brasil registra number mortes e number casos nas últimas number horas - ( via username ) país tem number mil mortes e number , number milhões de infecções confirmadas . há mais de number , number milhões de recuperados - url url",covil brasil registra morte caso ultimar hora ver pai mil morte milhoes infeccoes confirmar ha milhoes recuperar
1,1,0,0,neu,neu,0,False,0.028169014084507,0,0.0,china relata primeiro caso de nova variante de coronavírus ( cornetim és ),china relatar primeiro caso nova variante coronavirus cornetim es
2,2,0,0,neu,neu,1,False,0.0327868852459016,0,0.0,urgente : number bus pegando fogo no terminal fundão nesse momento .,urgente bus pegar fogo terminal fundao em esse momento
3,3,0,0,neu,neu,1,False,0.0,0,0.0,agência dos eua autoriza imunizante da pfizer e vacinação deve começar na próxima semana,agencia eua autorizar imunizante pfizer vacinacao dever comecar proxima semana
4,4,0,0,neu,neg,0,False,0.0641025641025641,0,0.0,rio de janeiro não vai mais comprar doses da cornava url,rio janeiro nao ir comprar dose cornava
5,5,0,0,neu,neg,1,False,0.0823529411764705,0,0.0,o gol marcado por felipe cardoso : atlético-go 2x1 fluminense url,gol marcar felipe cardoso atletico go 2x1 fluminense
6,6,0,0,neu,pos,1,False,0.0888888888888888,0,0.0,"●código de indicação ● ■wan de rt266 ■ invista no 🇺🇲🇺🇲🇺🇲na palma da sua mão e ganhe prêmios usando o código de indicação visite : url visite : url visite : url ● cadastra-se é grátis , é fácil ! 🇺🇲 hashtag hashtag hashtag 🇺🇸",codigo indicacao wan rt266 investir palma mao ganhar premios usar codigo indicacao visitar visitar visitar cadastrar gratis facil
7,7,0,1,neu,neu,0,True,0.0416666666666666,0,0.0,username 👮 🏽 ‍ ♂ ️ 👊 🏽,username 👮 🏽 ‍ ♂ ️ 👊 🏽
8,8,0,0,neu,pos,1,False,0.0261194029850746,0,0.0,"flamengo o brasileiro acaba no dia number de fevereiro , a janela para entrada de jogadores abre somente em março . logo , diego alves saindo é bem claro que o camisa number será o hugo souza , o clube querendo ou não . se vai contratar depois , vai depender de uma série de fatores .",flamengo brasileiro acabar dia fevereiro janela entrar jogar abrir somente marco logo diego alves sair bem claro camisa sera hugo souza clube querer nao ir contratar ir depender seriar fator
9,9,0,1,neu,pos,1,False,0.0530973451327433,0,0.0,"username muito obrigado pelas palavras de carinho , valentina . conte sempre com a polícia militar ! ! hashtag",obrigar palavra carinho valentina contar sempre policiar militar
10,10,0,0,neu,neg,1,False,0.0594059405940594,0,0.0,estado do rio de janeiro já garantiu ar $ number milhões para investir na vacinação url,estar rio janeiro ja garantir ar milhoes investir vacinacao
11,11,0,0,neu,neu,0,False,0.0636942675159235,0,0.0,"flamengo tem number casos confirmados de covil number . dos number atletas entregues ao departamento médico do clube , number foram afastados . hashtag url",flamengo caso confirmar covil atleta entregues departamento medicar clube afastar
12,12,0,0,neu,neu,1,False,0.0675675675675675,0,0.0,* * * saiu do forno : brasil fecha fronteiras com / todos países temporariamente,sair forno brasil fechar fronteiro todo paises temporário
13,13,0,0,neu,neu,0,False,0.0897435897435897,0,0.0,"tiros na grota , no complexo do salgueiro , em niterói ( number : number ) hashtag hashtag",tiro grota complexo salgueiro niteroi
14,14,0,0,neu,neg,0,False,0.0520833333333333,0,0.0,bolsonaro convoca todos os ministros para reunião no palácio do planalto url,bolsonaro convocar todo ministro reuniao palacio planalto
15,15,0,0,neu,pos,1,False,0.0526315789473684,0,0.0,abra agora sua conta grátis na assobio . corretora americana . ian és rindo na bolsa americana de forma simples e corretagem number . crie uma conta hoje e você receberá até number em ações grátis : url,abrir agora contar gratis assobio corretor americano ian es rir bolsa americano forma simples corretagem criar conta hoje voce receber atar acoes gratis
16,16,0,0,neu,neg,0,False,0.073170731707317,0,0.0,"tiros nas imediações do cemitério de inhaúma , em inhaúma ( number : number ) hashtag hashtag",tiro imediacoes cemiterio inhauma inhauma
17,17,0,0,neu,pos,1,False,0.0505050505050505,0,0.0,"segundo apuração da cânon junto a amigos e familiares , os médicos do hospital copa star , no rio de janeiro , estão diminuindo gradativamente a ventilação mecânica do ex-jogador . url",segundo apuracao canon junto amigo familiar medicos hospital copa star rio janeiro estao diminuir gradativamente ventilacao mecanica exemplo jogar
18,18,0,0,neu,pos,1,False,0.0477941176470588,1,0.0212765957446808,"ibovespa vira após frustração com anúncio do renda cidadã e fecha a segunda-feira com forte queda de number , number % , aos number pontos , na contramão do bom desempenho dos mercados no exterior . dólar sobe number , number % e encerra cotado a ar $ number , number , maior valor de fechamento desde number de maio .",ibovespa virar apos frustracao anunciar renda cidada fechar segunda feira forte queda ponto contramao bom desempenho mercado exterior dolar subir encerrar cotar ar maior valor fechar desde maio
19,19,0,0,neu,neu,1,False,0.0897435897435897,0,0.0,juíza do tj-rj é assassinada na barra da tijuca url hashtag,juiza tj rj assassinar barrar tijuca
20,20,0,1,neu,neu,0,True,0.09375,0,0.0,username username username 💙,username username username 💙
21,21,0,0,neu,neg,1,False,0.0476190476190476,0,0.0,"e essa guerra na praça seca , acaba quando ?",guerra praca seca acabar
22,22,0,0,neu,neu,0,False,0.0705882352941176,0,0.0,"tiros nas imediações da estrada do camboatá , em guadalupe ( number : number ) hashtag hashtag",tiro imediacoes estrada camboata guadalupe
23,23,0,0,neu,neu,1,False,0.0795454545454545,0,0.0,e agora ? o que acontece com a eleição do vasco após a suspensão ? url,agora acontecer eleicao vasco apos suspensao
24,24,0,0,neu,neu,1,False,0.0878378378378378,0,0.0,"confira na hashtag os bastidores do empate em number a number entre flamengo e internacional , pelo paulistão : url url",conferir bastidor empatar flamengo internacional paulistao
25,25,0,0,neu,neu,0,False,0.1111111111111111,0,0.0,"tiros no morro da formiga , na tijuca . ( number : number ) hashtag",tiro morrer formiga tijuca
26,26,0,0,neu,pos,1,False,0.1111111111111111,0,0.0,incêndio atinge prédio da reitoria da afro url url,incendio atingir predio reitoria afro
27,27,0,0,neu,pos,1,False,0.0549450549450549,1,0.0714285714285714,portaria começou a valer hoje e deverá ser cumprida com apoio da pf url,portaria comecou valer hoje dever ser cumprir apoio pf
28,28,0,0,neu,neu,0,False,0.1276595744680851,0,0.0,brasil ultrapassa number mil mortes por covil number : url url,brasil ultrapassar mil morte covil
29,29,0,0,neu,neg,1,False,0.053475935828877,0,0.0,"o país teve number mortes causadas pela doença nas últimas number horas , chegando ao total de number desde o início da pandemia . ouça os detalhes na reportagem . hashtag url",pai morte causar doenca ultimas horas chegar total desde iniciar pandemia ouca detalhe reportagem
30,30,0,0,neu,neg,0,False,0.0719424460431654,1,0.05,polícia investiga o roubo de number doses de cornava em posto de saúde de são joão de meriti url url,policiar investigar roubo dose cornava pôr saude sao joao meriti
31,31,0,1,neu,neu,1,True,0.0833333333333333,0,0.0,username 🤜🤛 hashtag,username 🤜🤛 hashtag
32,32,0,0,neu,neu,0,False,0.081967213114754,0,0.0,"tiros no parque paulista , em duque de caxias ( number : number ) hashtag",tiro parque paulista duque caxias
33,33,0,0,neu,neu,1,False,0.1,0,0.0,"wall st cai number , do jones recua às mínimas do fim de julho com pandemia url hashtag hashtag hashtag hashtag hashtag hashtag s&p500",wall st cair jones recuar minimas fim julho pandemia s p500
34,34,0,1,neu,neu,0,True,0.074074074074074,0,0.0,username username 👊 🏻,username username 👊 🏻
35,35,0,1,neu,neg,1,False,0.0933333333333333,0,0.0,"username username > ganhe ar $ number , number para comprar bicorne , cedente ou lucre na conexa . cadastre-se neste link url",> ganhar ar comprar bicorne cedente lucrar conexo cadastrar em este link
36,36,0,0,neu,neg,1,False,0.073170731707317,1,0.0555555555555555,urgente : criminoso que matou o policial militar na casa & vídeo de mesquita acaba de ser preso ! url,urgente criminoso matar policial militar casar video mesquita acabar ser preso
37,37,1,0,neu,neg,1,False,0.057471264367816,0,0.0,> username _ macedo padre critica veto a missas presenciais e atribui restrições a ‘ és quercistas vagabundos ’ : ‘ é por causa do partido comunista chinês ’ url,> macedo padre criticar veto missa presenciar atribuir restricoes es quercistas vagabundo causar partido comunista chines
38,38,0,0,neu,pos,1,False,0.1484375,0,0.0,indicação ! aprovação imediata ! ! abra agora sua conta grátis no link > > > url url,indicacao aprovacao imediato abrir agora contar gratis link > > >
39,39,0,0,neu,pos,1,False,0.0736842105263157,1,0.0769230769230769,"cabo frio , rj , cancela tradicional festa de réveillon na praia do forte url",cabo frio rj cancela tradicional festa reveillon praia forte
40,40,0,0,neu,pos,1,False,0.044776119402985,0,0.0,o vasco é o único clube do mundo que se auto-sabota ! inacreditável .,vasco unico clube mundo auto sabotar inacreditavel
41,41,0,0,neu,neu,0,False,0.0833333333333333,1,0.027027027027027,"um intenso tiroteio durante ação policial assustou moradores do morro da formiga , na tijuca , zona norte do rio , na manhã desta segunda-feira ( number ) . houve registro de tiros às number e novamente às number . url hashtag hashtag url",intenso tiroteio durante acao policial assustar morador morrer formiga tijuca zona norte rio manha de este segunda feira registro tiro novo
42,42,0,0,neu,neu,0,False,0.06,0,0.0,"segundo as autoridades britânicas , a variante foi identificada em dois casos url",segundo autoridade britanicas variante identificar dois caso
43,43,0,0,neu,pos,0,True,0.0426356589147286,1,0.0238095238095238,"gil do vigor revela surpresa com homenagem do sport e quer conhecer estádio : "" vou fazer tudo , ir até o chão "" pernambucano ganha camisa personalizada do clube , diz que tinha medo da ilha do retiro e lembra viagem com time rubro-negro 💥 url","gil vigor revelar surpresa homenagem sport querer conhecer estadio "" ir fazer tudo ir atar chao "" pernambucano ganhar camisa personalizar clube dizer medo ilha retiro lembrar viagem time rubro negro"
44,44,0,0,neu,neg,1,False,0.0454545454545454,0,0.0,"morreu na noite desta sexta-feira ( number ) , o ex-deputado federal e vereador pela cidade de salvador , username . ele estava internado em um hospital particular em feira de santana desde o dia number de fevereiro com covil number .",morrer noite de este sexta feira exemplo deputado federal verear cidade salvador internar hospital particular feira santana desde dia fevereiro covil
45,45,0,0,neu,neu,1,False,0.0714285714285714,0,0.0,"teclado multilaser slim com fio usb teclas silenciosas preto - tc213 , multilaser , teclados , windows ou mac os , preto url",teclado multilaser slim fiar usb tecla silencioso preto tc213 multilaser teclado windows mac preto
46,46,0,0,neu,neg,0,False,0.0813953488372093,0,0.0,globo teve queda de number de faturamento em publicidade em number . url,globo queda faturamento publicidade
47,47,0,1,pos,pos,0,False,0.0357142857142857,0,0.0,username bom dia e excelente sábado ! um abraço a todos os meus conterrâneos !,bom dia excelente sabado abraco todo conterraneos
48,48,0,0,neu,neg,0,False,0.05,0,0.0,"governador em exercício , cláudio castro , viaja de madrugada para são paulo para trazer as doses de vacina para o rio url",governador exercicio claudio castro viajar madrugada sao paulo trazer dose vacina rio
49,49,0,0,neu,neg,0,False,0.5379061371841155,0,0.0,apenas mais um dia de guerra na praça seca zona oeste do rio porque nada é feito para coibir isso ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? . hashtag hashtag url,apenas dia guerra praca seco zona oeste rio porque nada fazer coibir
50,50,0,0,neu,neg,0,False,0.0901639344262295,0,0.0,"questionado sobre o que seria pior para o brasil , lula ou bolsonaro , ciro responde : "" vale morrer ? "" url","questionar sobre pior brasil lula bolsonaro ciro responder "" valer morrer """
51,51,0,0,neu,neu,0,False,0.0144927536231884,1,0.0909090909090909,pedágio da linha amarela voltará a ser cobrado na próxima sexta-feira,pedagio linha amarelo voltar ser cobrar proxima sexta feira
52,52,0,0,neu,pos,0,False,0.0066225165562913,1,0.0714285714285714,gol do flamengo pedro aos number ’ number terceiro tempo joão gomes faz lindo passe e coloca pedro cara a cara com o goleiro que não perdoa . portuguesa 2x2 flamengo,gol flamengo pedro terceiro tempo joao gomes fazer lindo passe colocar pedro cara cara goleiro nao perdoar português 2x2 flamengo
